"","book_id","title","author","no_of_copies_sold","price","year","ranks","ratings","genre"
"1",11001,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin",6354,54.98,2012,15,4.6,"Fiction"
"2",11005,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","Tom Rath",2349,15.64,2012,64,4.5,"Non Fiction"
"3",11007,"George Washington's Secret Six: The Spy Ring That Saved the American Revolution","Brian Kilmeade",6506,17.2,2013,33,4.7,"Non Fiction"
"4",11010,"Steve Jobs","Walter Isaacson",12780,17.33,2012,27,4.7,"Non Fiction"
"5",11011,"The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God","Timothy Keller",6212,20.26,2012,99,4.8,"Non Fiction"
"6",11013,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease","Anthony William",10982,21.99,2019,93,4.7,"Non Fiction"
"7",11018,"The Maze Runner (Book 1)","James Dashner",15611,9.57,2014,49,4.6,"Fiction"
"8",11023,"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling",91629,38.86,2016,45,4.9,"Fiction"
"9",11027,"First 100 Padded: Numbers, Colors, Shapes","Roger Priddy",7034,5.59,2016,82,4.8,"Non Fiction"
"10",11029,"National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer",12922,12.98,2019,43,4.8,"Non Fiction"
"11",11030,"Crucial Conversations: Tools for Talking When Stakes are High","Kerry Patterson",772,17.99,2010,88,4.5,"Non Fiction"
"12",11031,"The Glass Castle: A Memoir (book)","Jeannette Walls",19006,12.06,2010,81,4.6,"Non Fiction"
"13",11034,"What to Expect When You're Expecting","Heidi Murkoff",29389,12.7,2017,58,4.8,"Non Fiction"
"14",11035,"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman",69866,7.57,2018,14,4.8,"Non Fiction"
"15",11041,"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins",60784,20.35,2019,44,4.8,"Non Fiction"
"16",11043,"Half the Sky: Turning Oppression into Opportunity for Women Worldwide","Nicholas D. Kristof",2194,10.97,2009,87,4.7,"Non Fiction"
"17",11046,"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst",17297,23.55,2019,18,4.8,"Non Fiction"
"18",11047,"Go the F**k to Sleep","Adam Mansbach",20243,14.35,2012,67,4.8,"Fiction"
"19",11049,"Wonder","R. J. Palacio",35698,9.67,2014,22,4.8,"Fiction"
"20",11050,"Mystical Mandala Coloring Book (Dover Mandala Coloring Books)","Alberta Hutchinson",2944,3.99,2015,73,4.5,"Non Fiction"
"21",11051,"If Animals Kissed Good Night","Ann Whitford Paul",69538,4.14,2019,24,4.8,"Fiction"
"22",11056,"Ready Player One: A Novel","Ernest Cline",45965,11,2017,46,4.7,"Fiction"
"23",11057,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand",33629,14.54,2012,19,4.8,"Non Fiction"
"24",11059,"The Lego Ideas Book: Unlock Your Imagination","Daniel Lipkowitz",9887,12.8,2012,44,4.5,"Non Fiction"
"25",11061,"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten",2226,17.4,2014,30,4.6,"Non Fiction"
"26",11062,"Go Set a Watchman: A Novel","Harper Lee",18592,15.83,2015,6,3.7,"Fiction"
"27",11066,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3)","Mr. Jim Kay",13883,20.19,2017,37,4.9,"Fiction"
"28",11068,"George Orwell","George Orwell",72441,7.48,2016,94,4.7,"Fiction"
"29",11071,"It Ends with Us: A Novel (1)","Colleen Hoover",169014,9.99,2021,7,4.7,"Fiction"
"30",11073,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",16936,14.19,2010,24,4.7,"Non Fiction"
"31",11076,"We Were Liars","E. Lockhart",42287,5.98,2021,43,4.5,"Fiction"
"32",11079,"Diary of a Wimpy Kid #11: Double Down","Jeff Kinney",14027,14.25,2016,6,4.8,"Fiction"
"33",11080,"Fear: Trump in the White House","Bob Woodward",10319,27.59,2018,5,4.5,"Non Fiction"
"34",11081,"Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults","Johanna Basford",15022,9.99,2015,4,4.7,"Non Fiction"
"35",11084,"Becoming","Michelle Obama",123276,16.5,2020,14,4.8,"Non Fiction"
"36",11086,"A Long Walk to Water: Based on a True Story","Linda Sue Park",16131,6.78,2015,96,4.7,"Fiction"
"37",11087,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson",80328,14.35,2017,4,4.6,"Non Fiction"
"38",11088,"The Serpent's Shadow (The Kane Chronicles, Book 3)","Rick Riordan",4883,12.58,2012,39,4.8,"Fiction"
"39",11089,"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer",16912,14.3,2010,83,4.7,"Fiction"
"40",11090,"South of Broad","Pat Conroy",2484,15.85,2009,60,4.5,"Fiction"
"41",11095,"1984","George Orwell",72441,7.48,2021,24,4.7,"Fiction"
"42",11101,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Rachel Hollis",14255,9.98,2019,11,4.6,"Non Fiction"
"43",11102,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition","Patrick Lencioni",6296,20.72,2016,54,4.6,"Fiction"
"44",11105,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!","Tom Robinson",6281,7.5,2016,93,4.6,"Non Fiction"
"45",11106,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)","Robert Jordan",13061,19.81,2013,100,4.8,"Fiction"
"46",11108,"Giraffes Can't Dance","Giles Andreae",28447,6.9,2016,8,4.8,"Fiction"
"47",11113,"Who Moved My Cheese","Spencer Johnson",16756,16.13,2012,72,4.6,"Fiction"
"48",11116,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely","Lysa TerKeurst",9505,8.47,2017,52,4.7,"Non Fiction"
"49",11120,"And the Mountains Echoed","Khaled Hosseini",17303,12.33,2013,25,4.4,"Fiction"
"50",11127,"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James",38220,19.49,2013,72,4.6,"Fiction"
"51",11128,"Room","Emma Donoghue",9750,10.43,2011,83,4.5,"Fiction"
"52",11129,"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy Instant Pot Recipes.","Jennifer Smith",13295,8.7,2019,31,4.4,"Non Fiction"
"53",11136,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race","Jon Stewart",576,12.89,2010,21,4.5,"Non Fiction"
"54",11140,"What to Expect When You're Expecting","Heidi Murkoff",29389,18,2015,78,4.8,"Non Fiction"
"55",11142,"StrengthsFinder 2.0","Gallup",7082,18.29,2014,1,4.1,"Non Fiction"
"56",11147,"The Lost Symbol","Dan Brown",16118,12.49,2009,1,4.4,"Fiction"
"57",11150,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",12674,24.29,2013,18,4.5,"Non Fiction"
"58",11151,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo",17368,10.24,2011,2,4.7,"Non Fiction"
"59",11152,"Night (Night)","Elie Wiesel",8573,5.49,2013,82,4.7,"Non Fiction"
"60",11153,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)","Don Miguel Ruiz",86676,7.74,2018,27,4.7,"Non Fiction"
"61",11155,"Mockingjay (The Hunger Games)","Suzanne Collins",37034,9.08,2011,9,4.6,"Fiction"
"62",11163,"Zen as F*ck (Zen as F*ck Journals)","Monica Sweeney",23862,13.49,2019,51,4.7,"Non Fiction"
"63",11169,"I Love You to the Moon and Back","Amelia Hepworth",60075,4.31,2020,26,4.9,"Non Fiction"
"64",11172,"The Goldfinch: A Novel (Pulitzer Prize for Fiction)","Donna Tartt",42846,22.33,2014,20,4,"Fiction"
"65",11174,"Between the World and Me","Ta-Nehisi Coates",20038,12.92,2016,39,4.7,"Non Fiction"
"66",11175,"So You Want to Talk About Race","Ijeoma Oluo",12313,11.48,2020,72,4.7,"Non Fiction"
"67",11180,"The Fault in Our Stars","John Green",62089,6.1,2014,4,4.7,"Fiction"
"68",11182,"The Girl with the Dragon Tattoo (Millennium Series)","Stieg Larsson",15466,9.49,2010,2,4.5,"Fiction"
"69",11184,"Humans of New York","Brandon Stanton",5377,15.38,2013,26,4.8,"Non Fiction"
"70",11185,"The Very Hungry Caterpillar","Eric Carle",54008,4.93,2019,16,4.9,"Fiction"
"71",11191,"Where the Crawdads Sing","Delia Owens",344811,12.39,2020,3,4.8,"Fiction"
"72",11194,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies","Michelle Malkin",1094,9.06,2009,65,4.6,"Non Fiction"
"73",11196,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)","Valorie Schaefer",24544,9.48,2019,94,4.8,"Non Fiction"
"74",11197,"What to Expect When You're Expecting","Heidi Murkoff",29389,18,2012,52,4.8,"Non Fiction"
"75",11199,"A Wrinkle in Time (Time Quintet)","Madeleine L'Engle",12524,8.49,2018,38,4.6,"Fiction"
"76",11200,"The Catcher in the Rye","J. D. Salinger",30925,13.49,2010,92,4.5,"Fiction"
"77",11201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Brené Brown",11620,9.87,2019,64,4.8,"Non Fiction"
"78",11204,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",16936,12.1,2013,81,4.7,"Non Fiction"
"79",11207,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)","E L James",32375,13.88,2013,86,4.5,"Fiction"
"80",11211,"Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans","Rush Limbaugh",4504,9.99,2014,64,4.9,"Fiction"
"81",11212,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)","Jim Collins",1281,11.55,2012,69,4.6,"Non Fiction"
"82",11214,"Goodnight Moon","Margaret Wise Brown",24815,5.36,2017,33,4.9,"Fiction"
"83",11218,"How to Win Friends & Influence People","Dale Carnegie",79094,10.5,2015,26,4.7,"Non Fiction"
"84",11220,"The Great Gatsby: The Only Authorized Edition","F. Scott Fitzgerald",18656,6.79,2018,93,4.5,"Fiction"
