"","book_id","ranks","ratings"
"1",14548,1,4.4
"2",13314,2,4.7
"3",14138,3,4.8
"4",14681,4,4.7
"5",13118,5,4.6
"6",14660,6,4.1
"7",12082,7,4.8
"8",11971,8,4.7
"9",13893,9,4.7
"10",13902,10,4.7
"11",12562,NA,4.7
"12",14489,12,4.7
"13",12474,13,4.6
"14",11516,14,4.4
"15",13410,15,4.8
"16",12803,16,4.6
"17",11440,17,4.7
"18",12511,18,4.4
"19",14582,19,4.7
"20",12639,20,4.5
"21",13995,21,4.6
"22",11426,22,4.8
"23",12125,23,4.7
"24",14514,24,4.5
"25",13615,25,4.5
"26",12403,26,4.5
"27",11011,27,4.5
"28",12446,28,4.8
"29",11566,29,4.5
"30",12940,30,4.7
"31",12979,31,4.9
"32",13977,32,4.6
"33",14595,33,4.3
"34",11181,34,4.7
"35",11049,35,4.3
"36",14671,36,4.6
"37",12475,37,4.4
"38",12784,38,4.7
"39",12414,NA,4.8
"40",13591,40,4.2
"41",12543,41,4.6
"42",13481,42,4.7
"43",14616,43,NA
"44",11997,44,4.6
"45",12279,45,4.8
"46",12598,46,4.6
"47",11732,47,4.7
"48",11736,48,4.6
"49",12274,51,4.8
"50",13290,NA,4.7
"51",11700,53,4.3
"52",12428,54,4.3
"53",12974,55,4.4
"54",13814,56,4.7
"55",14240,57,4.7
"56",12617,58,4.8
"57",14537,59,4.7
"58",13914,60,4.5
"59",12142,61,4.6
"60",14717,62,4.6
"61",12519,63,4.3
"62",14356,64,4.4
"63",12316,65,4.6
"64",14864,66,4.5
"65",13340,67,4.8
"66",11960,68,4.7
"67",12008,69,4.8
"68",13117,70,NA
"69",13896,71,4.7
"70",12583,72,4.3
"71",14460,73,4.5
"72",13543,74,4.6
"73",14086,75,4.7
"74",13112,76,4.4
"75",11976,77,4.6
"76",12509,78,4.6
"77",11248,79,4.7
"78",12910,80,4.1
"79",14132,81,4.7
"80",14729,82,4.6
"81",11506,83,4.6
"82",13621,84,4.3
"83",14125,85,4.3
"84",14140,86,4.5
"85",12728,87,4.7
"86",13106,NA,4.4
"87",12326,89,4.7
"88",14000,90,4.5
"89",13654,91,NA
"90",11556,92,4.6
"91",12589,NA,4.7
"92",11461,NA,4.5
"93",14404,95,4.3
"94",11911,96,3.5
"95",11501,97,4.7
"96",13219,98,4.6
"97",14500,99,4.7
"98",12018,1,4.7
"99",11421,2,4.5
"100",13557,3,4.6
"101",14182,4,4.8
"102",14792,5,4.7
"103",14406,6,4.8
"104",14972,7,4.1
"105",12957,8,4.6
"106",11638,9,4.4
"107",14923,10,4.5
"108",14941,11,4.4
"109",11981,12,4.7
"110",13392,13,4.5
"111",12210,14,4.8
"112",11965,15,4.6
"113",14026,16,4.7
"114",13113,17,4.7
"115",13835,18,4.7
"116",11694,19,4.6
"117",14213,20,4.6
"118",13635,21,4.5
"119",12107,22,4.4
"120",12263,23,4.5
"121",11410,24,4.7
"122",11168,25,NA
"123",14604,26,4.5
"124",13228,27,4.7
"125",12652,28,4.7
"126",11723,29,4.6
"127",12748,30,NA
"128",11202,31,NA
"129",14859,32,4.7
"130",12751,33,4.4
"131",12753,34,4.6
"132",14512,35,4.7
"133",11233,36,4.8
"134",11080,37,4.6
"135",14696,38,4.7
"136",12464,39,4.7
"137",14196,40,4.5
"138",14637,41,4.7
"139",12317,42,4.8
"140",13901,43,4.2
"141",12276,44,4.8
"142",11256,45,NA
"143",11033,46,4.7
"144",13288,47,4.8
"145",12015,48,4.6
"146",12415,49,4.7
"147",14451,51,4.6
"148",13840,52,4.2
"149",13630,53,4
"150",13821,NA,4
"151",13879,NA,4.7
"152",14689,NA,4.5
"153",13930,57,4.4
"154",13984,58,4.4
"155",13989,59,NA
"156",11804,60,4.4
"157",12764,61,4.3
"158",13269,62,4.8
"159",12518,63,4.4
"160",11353,64,4.6
"161",13114,65,4.1
"162",13299,66,4.8
"163",12093,67,4.5
"164",12139,68,4.6
"165",13786,NA,4.6
"166",12879,70,4.5
"167",13431,71,4.6
"168",12302,72,4.9
"169",13046,73,NA
"170",12257,74,4.8
"171",13904,75,4.7
"172",12673,76,4.8
"173",11138,77,4.7
"174",13357,78,4.5
"175",11443,79,4.5
"176",11027,80,4.7
"177",11280,81,4.6
"178",13539,82,4.7
"179",12546,83,4.7
"180",14083,84,4.7
"181",14807,85,4.7
"182",14437,NA,4.6
"183",14712,87,4.4
"184",14789,88,4.5
"185",11321,89,4.7
"186",13475,90,4.4
"187",12214,91,4.7
"188",11235,92,4.5
"189",12293,93,4.7
"190",14659,94,4.6
"191",13988,95,4.5
"192",11318,96,4.6
"193",13491,97,4.1
"194",13051,NA,4.6
"195",11708,1,4.7
"196",14599,2,4.7
"197",11777,3,4.8
"198",12767,4,4.1
"199",14139,5,NA
"200",14605,6,4.8
"201",13779,7,4.7
"202",11295,8,4.8
"203",12441,9,4.6
"204",14439,10,4.6
"205",14185,11,4.7
"206",13657,NA,4.3
"207",12785,13,4.5
"208",14560,14,4.8
"209",11998,15,4.7
"210",12874,16,4.5
"211",12306,NA,4.8
"212",14329,18,4.7
"213",12246,19,4.7
"214",14541,20,4.4
"215",14980,21,4.9
"216",12899,22,NA
"217",12051,23,4.6
"218",11185,24,4.3
"219",13936,25,4.4
"220",14063,26,4.5
"221",11622,27,4.7
"222",13233,28,4.7
"223",14669,29,4.7
"224",11618,30,4.7
"225",14226,31,4.5
"226",13315,32,4.6
"227",11294,NA,4.5
"228",13342,34,4.6
"229",11881,35,NA
"230",12656,36,4.8
"231",11840,37,4.5
"232",14459,38,4.5
"233",14146,39,4.5
"234",11711,40,4.4
"235",12075,41,4.8
"236",13729,42,4.6
"237",14849,43,4.4
"238",13851,44,4.7
"239",11417,45,4.7
"240",11854,46,4.5
"241",11167,47,NA
"242",11887,48,4.7
"243",12527,49,4.8
"244",11511,51,4.6
"245",14781,52,4.4
"246",14694,53,4.5
"247",11717,54,4.5
"248",13571,55,4.6
"249",13244,56,4.9
"250",14641,57,4.5
"251",12438,58,4.5
"252",12755,59,NA
"253",12409,60,4.8
"254",13534,61,4.4
"255",14880,62,4.5
"256",12547,63,NA
"257",11776,64,4.5
"258",14594,65,4.6
"259",13307,66,4.6
"260",11571,67,4.7
"261",11286,68,4.5
"262",12808,69,4.9
"263",11921,70,4.7
"264",14896,71,4.2
"265",11404,72,NA
"266",12180,73,4.4
"267",12356,74,4.6
"268",11825,NA,4.2
"269",13694,76,4
"270",11186,NA,4.6
"271",12252,78,4.9
"272",11044,79,4.6
"273",14633,80,4.6
"274",12750,NA,4.6
"275",14317,82,4.8
"276",11698,83,4.5
"277",12314,84,4.6
"278",12553,85,4.4
"279",14727,86,4.5
"280",12799,87,4.7
"281",14757,NA,4.5
"282",13771,89,4.7
"283",14243,90,4.4
"284",11871,NA,4.7
"285",11741,92,4.6
"286",11315,93,4.8
"287",14513,94,3.5
"288",12996,95,4.5
"289",11931,96,4.6
"290",12770,97,4.8
"291",14096,98,4.7
"292",14379,99,4.7
"293",13157,NA,4.4
"294",12260,1,4
"295",13227,2,4.5
"296",13124,3,4.5
"297",12731,NA,4.7
"298",13341,5,4.1
"299",12226,6,4.6
"300",12185,7,4.7
"301",11269,8,4.6
"302",11267,9,NA
"303",13789,10,4.6
"304",11783,11,4.8
"305",13553,12,4.1
"306",13445,13,4.8
"307",12479,14,4.4
"308",11400,15,4.6
"309",11103,16,4.6
"310",13723,17,4.5
"311",12471,18,4.7
"312",13264,19,4.8
"313",13197,20,4.4
"314",14282,21,4.7
"315",11577,22,4.8
"316",14156,23,4.6
"317",12041,24,3.4
"318",13090,25,4.7
"319",13983,26,4.7
"320",13338,27,4.7
"321",13812,28,4.4
"322",12393,29,4.9
"323",12020,30,4.6
"324",14284,31,4.6
"325",11986,32,4.6
"326",12331,33,4.5
"327",11335,34,4.4
"328",11026,35,4.3
"329",12855,36,4.9
"330",11828,37,4.7
"331",12161,38,4.7
"332",13008,39,4.8
"333",11018,40,NA
"334",13319,41,4.5
"335",12077,42,4.6
"336",13451,43,4.8
"337",13950,44,4.5
"338",13353,NA,4.7
"339",14790,46,4.9
"340",14701,47,4.5
"341",11480,48,4.6
"342",11356,49,4.5
"343",14483,50,4.5
"344",14715,NA,4.7
"345",14290,52,4.8
"346",14703,NA,4.8
"347",12495,54,4.5
"348",13332,55,4.5
"349",13985,56,NA
"350",11447,57,4.3
"351",11192,58,4.5
"352",11059,59,4.6
"353",14875,60,4.7
"354",14578,61,NA
"355",14630,62,4.4
"356",14567,63,4.7
"357",13768,64,4.5
"358",13110,65,4.3
"359",13613,66,4.7
"360",12922,67,4.8
"361",12942,68,4.5
"362",13335,69,4.6
"363",12439,70,4.5
"364",14051,71,4.6
"365",13054,72,4.6
"366",14209,73,NA
"367",12089,74,4.4
"368",13872,75,4.3
"369",11287,76,4.5
"370",12913,77,4.7
"371",12813,78,4.5
"372",14455,79,4.9
"373",11131,80,4.6
"374",11140,81,4.5
"375",14151,82,4.3
"376",13442,83,4.7
"377",13676,84,4.7
"378",11436,85,4.6
"379",13732,86,4.8
"380",12576,87,3.8
"381",13715,NA,4.5
"382",12830,89,4.5
"383",13852,90,4.7
"384",13261,91,4.8
"385",13804,92,4.8
"386",13402,93,4.6
"387",12981,94,4.8
"388",14640,95,4.8
"389",11270,96,4.6
"390",13144,97,NA
"391",13966,NA,NA
"392",11565,99,4.8
"393",12884,100,4.7
"394",14429,NA,4.1
"395",13266,2,4.5
"396",11816,3,4.8
"397",12345,NA,4.9
"398",13404,5,4.9
"399",13923,6,4.2
"400",14354,7,4.8
"401",13055,8,4.7
"402",13590,9,4.5
"403",14366,10,4.5
"404",12033,11,4.4
"405",12622,12,4.7
"406",14276,13,4.4
"407",12766,14,NA
"408",11151,NA,4.7
"409",13029,16,4.8
"410",13640,17,4.7
"411",12367,18,4.5
"412",13171,19,4.7
"413",12599,20,4.6
"414",13739,21,4.9
"415",11393,22,4.5
"416",12307,23,4.6
"417",14351,24,3.9
