"","book_id","no_of_copies_sold","price","year"
"1",14548,16118,12.49,2009
"2",13314,23392,13.4,2009
"3",14138,5036,9.93,2009
"4",14681,16912,14.3,2009
"5",13118,1572,9.99,2009
"6",14660,7082,18.29,2009
"7",12082,18068,12.66,2009
"8",11971,12329,17.56,2009
"9",13893,6100,58.9,2009
"10",13902,22209,16.04,2009
"11",12562,12771,19.62,2009
"12",14489,22103,15.49,2009
"13",12474,1421,5.91,2009
"14",11516,3497,11.49,2009
"15",13410,3298,11.78,2009
"16",12803,7043,20.45,2009
"17",11440,7979,11.6,2009
"18",12511,9110,31.61,2009
"19",14582,14884,10.42,2009
"20",12639,929,10.76,2009
"21",13995,895,10.5,2009
"22",11426,7568,28.49,2009
"23",12125,995,82.15,2009
"24",14514,6592,9.99,2009
"25",13615,12674,24.29,2009
"26",12403,509,13.98,2009
"27",11011,15466,9.49,2009
"28",12446,2565,16.6,2009
"29",11566,5803,16.5,2009
"30",12940,12771,23.9,2009
"31",12979,32044,13.2,2009
"32",13977,6262,20.72,2009
"33",14595,11519,8.77,2009
"34",11181,2790,11.74,2009
"35",11049,1158,14.97,2009
"36",14671,2373,17.54,2009
"37",12475,5732,12.99,2009
"38",12784,1920,16.48,2009
"39",12414,14955,10.44,2009
"40",13591,3486,9.09,2009
"41",12543,3242,9.8,2009
"42",13481,10693,22.8,2009
"43",14616,5899,14.95,2009
"44",11997,886,14.72,2009
"45",12279,7746,33.99,2009
"46",12598,1676,19.99,2009
"47",11732,1387,25,2009
"48",11736,60,16,2009
"49",12274,9371,21.98,2009
"50",13290,8639,15.71,2009
"51",11700,2047,9.78,2009
"52",12428,888,10.95,2009
"53",12974,901,9.54,2009
"54",13814,11833,18.49,2009
"55",14240,764,7.96,2009
"56",12617,5477,14.52,2009
"57",14537,34536,6.99,2009
"58",13914,2484,15.85,2009
"59",12142,3678,10.33,2009
"60",14717,9715,20.58,2009
"61",12519,929,9.79,2009
"62",14356,4306,11.3,2009
"63",12316,1094,9.06,2009
"64",14864,8638,11.04,2009
"65",13340,16590,16.97,2009
"66",11960,7133,15.2,2009
"67",12008,16893,28.99,2009
"68",13117,6337,19.81,2009
"69",13896,7581,16.99,2009
"70",12583,2837,14.49,2009
"71",14460,267,6.21,2009
"72",13543,4736,24.95,2009
"73",14086,79094,10.5,2009
"74",13112,1526,41,2009
"75",11976,3294,14.01,2009
"76",12509,4784,10.83,2009
"77",11248,2080,7.99,2009
"78",12910,10808,34.23,2009
"79",14132,42770,22.6,2009
"80",14729,425,13.2,2009
"81",11506,1477,23.95,2009
"82",13621,956,14.95,2009
"83",14125,1787,11.52,2009
"84",14140,772,17.99,2009
"85",12728,2194,10.97,2009
"86",13106,3826,11.95,2009
"87",12326,2189,22.72,2009
"88",14000,312,9.99,2009
"89",13654,3525,9.31,2009
"90",11556,2143,23.65,2009
"91",12589,3597,13.99,2009
"92",11461,14137,17.99,2009
"93",14404,6013,10.79,2009
"94",11911,766,17.89,2009
"95",11501,4841,16.14,2009
"96",13219,2801,12.85,2009
"97",14500,32459,9.49,2009
"98",12018,11051,11.93,2010
"99",11421,15466,9.49,2010
"100",13557,2399,8.96,2010
"101",14182,18068,13.78,2010
"102",14792,10693,11.12,2010
"103",14406,10589,11.71,2010
"104",14972,7082,18.29,2010
"105",12957,37034,9.08,2010
"106",11638,1967,13.92,2010
"107",14923,12674,24.29,2010
"108",14941,612,22,2010
"109",11981,5893,18.24,2010
"110",13392,2494,11.57,2010
"111",12210,33629,14.54,2010
"112",11965,3296,9.03,2010
"113",14026,1781,14.99,2010
"114",13113,1920,16.48,2010
"115",13835,6165,10.59,2010
"116",11694,4699,13.8,2010
"117",14213,6790,12,2010
"118",13635,576,12.89,2010
"119",12107,1526,41,2010
"120",12263,1358,7.92,2010
"121",11410,16936,14.19,2010
"122",11168,11549,14.53,2010
"123",14604,860,22.99,2010
"124",13228,22209,16.04,2010
"125",12652,32459,9.49,2010
"126",11723,6296,20.72,2010
"127",12748,5803,16.5,2010
"128",11202,3497,11.49,2010
"129",14859,2406,17,2010
"130",12751,7914,9.35,2010
"131",12753,3242,16.97,2010
"132",14512,577,44.5,2010
"133",11233,14955,10.44,2010
"134",11080,3912,16.99,2010
"135",14696,16418,9.8,2010
"136",12464,7012,23.99,2010
"137",14196,531,9.07,2010
"138",14637,5025,10.61,2010
"139",12317,1223,18.9,2010
"140",13901,1902,10.2,2010
"141",12276,1371,15.79,2010
"142",11256,612,29.22,2010
"143",11033,2727,9.21,2010
"144",13288,7325,21.49,2010
"145",12015,4784,10.83,2010
"146",12415,42770,22.6,2010
"147",14451,1676,19.99,2010
"148",13840,1586,12,2010
"149",13630,2718,12.23,2010
"150",13821,2718,17.48,2010
"151",13879,11833,18.49,2010
"152",14689,18702,16.98,2010
"153",13930,8494,9.49,2010
"154",13984,8494,9.27,2010
"155",13989,88,27.57,2010
"156",11804,1045,9.65,2010
"157",12764,1778,8.58,2010
"158",13269,5477,14.52,2010
"159",12518,5732,12.99,2010
"160",11353,3678,10.33,2010
"161",13114,1071,35.3,2010
"162",13299,13936,7.99,2010
"163",12093,18929,13.39,2010
"164",12139,3418,19.59,2010
"165",13786,3421,11.37,2010
"166",12879,2790,15.99,2010
"167",13431,1311,15,2010
"168",12302,31196,7.53,2010
"169",13046,668,12.6,2010
"170",12257,9371,21.98,2010
"171",13904,3959,15.5,2010
"172",12673,7568,28.49,2010
"173",11138,10931,14.77,2010
"174",13357,853,14.3,2010
"175",11443,1572,18.93,2010
"176",11027,1514,44.99,2010
"177",11280,19006,12.06,2010
"178",13539,23392,13.4,2010
"179",12546,16912,14.3,2010
"180",14083,1234,23.23,2010
"181",14807,14884,10.42,2010
"182",14437,6239,13.49,2010
"183",14712,6580,15.96,2010
"184",14789,772,17.99,2010
"185",11321,2206,11.25,2010
